id,marca,modelo,anio,fee
10,"Pick Up 4D, larga, Cabina",RESTO,Todos los años,150
9,"Pick Up 4D, larga, Cabina",TEXAS,Todos los años,125
5,Sedan,Todos los modelos,Todos los años,0
6,SUV small,Todas los modelos small,Todos los años,0
11,Todas las Marcas Sobrepeso,COLORADO,Todos los años,200
8,Todas las Marcas SUV Grande,RESTO,Todos los años,150
7,Todas las Marcas SUV Grande,TEXAS,Todos los años,125
